,Run,Wicket,Run_Conceded,Catch,Opposition,Ground,Date,I_ODI
115,79.0,2.0,26.0,0.0,Average,Abroad Ground,21 Aug 2011,3183
116,67.0,0.0,50.0,0.0,Good,Home Ground,13 Oct 2011,3198
117,12.0,2.0,30.0,0.0,Good,Home Ground,15 Oct 2011,3200
118,,4.0,16.0,0.0,Good,Home Ground,18 Oct 2011,3202
119,15.0,2.0,42.0,1.0,Good,Home Ground,1 Dec 2011,3218
120,34.0,1.0,27.0,0.0,Good,Home Ground,3 Dec 2011,3220
121,9.0,1.0,21.0,0.0,Good,Home Ground,6 Dec 2011,3222
122,64.0,2.0,41.0,1.0,Good,Home Ground,11 Mar 2012,3258
123,49.0,0.0,63.0,0.0,Best,Home Ground,16 Mar 2012,3261
124,56.0,2.0,56.0,1.0,Good,Home Ground,20 Mar 2012,3265
125,68.0,2.0,39.0,2.0,Good,Home Ground,22 Mar 2012,3267
126,1.0,0.0,27.0,0.0,Average,Abroad Ground,3 May 2013,3353
127,34.0,1.0,42.0,1.0,Average,Abroad Ground,5 May 2013,3354
128,18.0,0.0,43.0,0.0,Average,Abroad Ground,8 May 2013,3355
129,3.0,2.0,29.0,0.0,Good,Home Ground,17 Feb 2014,3469
130,24.0,1.0,46.0,0.0,Good,Home Ground,20 Feb 2014,3470
131,44.0,1.0,53.0,0.0,Good,Home Ground,4 Mar 2014,3482
132,20.0,0.0,27.0,0.0,Good,Home Ground,6 Mar 2014,3485
133,52.0,2.0,27.0,0.0,Best,Home Ground,15 Jun 2014,3497
134,4.0,1.0,8.0,0.0,Best,Home Ground,17 Jun 2014,3498
135,,3.0,27.0,0.0,Best,Home Ground,19 Jun 2014,3499
136,101.0,4.0,41.0,0.0,Average,Home Ground,21 Nov 2014,3550
137,0.0,1.0,18.0,0.0,Average,Home Ground,23 Nov 2014,3552
138,40.0,1.0,19.0,0.0,Average,Home Ground,26 Nov 2014,3553
139,1.0,2.0,28.0,0.0,Average,Home Ground,28 Nov 2014,3555
140,0.0,3.0,30.0,0.0,Average,Home Ground,1 Dec 2014,3559
141,63.0,2.0,43.0,0.0,Average,Abroad Ground,18 Feb 2015,3605
142,46.0,0.0,55.0,0.0,Good,Abroad Ground,26 Feb 2015,3615
143,52.0,1.0,46.0,0.0,Satisfactory,Abroad Ground,5 Mar 2015,3624
144,2.0,0.0,41.0,1.0,Best,Abroad Ground,9 Mar 2015,3630
145,23.0,4.0,55.0,0.0,Best,Abroad Ground,13 Mar 2015,3634
146,10.0,1.0,58.0,1.0,Best,Abroad Ground,19 Mar 2015,3641
147,31.0,1.0,45.0,0.0,Good,Home Ground,17 Apr 2015,3647
148,7.0,2.0,51.0,0.0,Good,Home Ground,19 Apr 2015,3648
149,,2.0,34.0,1.0,Good,Home Ground,22 Apr 2015,3649
150,52.0,2.0,33.0,0.0,Best,Home Ground,18 Jun 2015,3658
151,51.0,0.0,33.0,0.0,Best,Home Ground,21 Jun 2015,3660
152,20.0,1.0,33.0,0.0,Best,Home Ground,24 Jun 2015,3661
153,48.0,0.0,27.0,0.0,Best,Home Ground,10 Jul 2015,3663
154,0.0,0.0,30.0,0.0,Best,Home Ground,12 Jul 2015,3666
155,,3.0,33.0,0.0,Best,Home Ground,15 Jul 2015,3668
156,16.0,5.0,47.0,0.0,Average,Home Ground,7 Nov 2015,3703
157,48.0,2.0,26.0,0.0,Average,Home Ground,25 Sep 2016,3781
158,17.0,4.0,47.0,0.0,Average,Home Ground,28 Sep 2016,3783
159,17.0,0.0,34.0,0.0,Average,Home Ground,1 Oct 2016,3786
160,79.0,2.0,59.0,0.0,Best,Home Ground,7 Oct 2016,3791
161,3.0,1.0,50.0,1.0,Best,Home Ground,9 Oct 2016,3793
162,4.0,0.0,45.0,0.0,Best,Home Ground,12 Oct 2016,3794
163,59.0,3.0,69.0,0.0,Best,Abroad Ground,26 Dec 2016,3814
164,7.0,2.0,45.0,1.0,Best,Abroad Ground,29 Dec 2016,3815
165,18.0,0.0,55.0,0.0,Best,Abroad Ground,31 Dec 2016,3816
166,72.0,1.0,33.0,0.0,Good,Abroad Ground,25 Mar 2017,3855
167,,0.0,59.0,0.0,Good,Abroad Ground,28 Mar 2017,3856
168,54.0,0.0,41.0,0.0,Good,Abroad Ground,1 Apr 2017,3858
169,14.0,,,,Average,Abroad Ground,12 May 2017,3866
170,6.0,0.0,50.0,0.0,Best,Abroad Ground,17 May 2017,3868
171,,1.0,38.0,0.0,Average,Abroad Ground,19 May 2017,3869
172,19.0,2.0,41.0,1.0,Best,Abroad Ground,24 May 2017,3871
173,10.0,0.0,62.0,0.0,Best,Abroad Ground,1 Jun 2017,3875
174,29.0,,,0.0,Good,Abroad Ground,5 Jun 2017,3879
175,114.0,0.0,52.0,0.0,Best,Abroad Ground,9 Jun 2017,3883
176,15.0,0.0,54.0,0.0,Best,Abroad Ground,15 Jun 2017,3891
177,29.0,0.0,48.0,0.0,Best,Abroad Ground,15 Oct 2017,3923
178,5.0,2.0,60.0,0.0,Best,Abroad Ground,18 Oct 2017,3925
179,63.0,0.0,56.0,0.0,Best,Abroad Ground,22 Oct 2017,3929
180,37.0,3.0,43.0,0.0,Average,Home Ground,15 Jan 2018,3952
181,67.0,3.0,47.0,1.0,Good,Home Ground,19 Jan 2018,3959
182,51.0,3.0,34.0,0.0,Average,Home Ground,23 Jan 2018,3964
183,8.0,0.0,10.0,0.0,Good,Home Ground,25 Jan 2018,3965
184,,0.0,20.0,0.0,Good,Home Ground,27 Jan 2018,3967
185,97.0,0.0,43.0,1.0,Good,Abroad Ground,22 Jul 2018,4022
186,56.0,2.0,45.0,0.0,Good,Abroad Ground,25 Jul 2018,4023
187,37.0,0.0,45.0,1.0,Good,Abroad Ground,28 Jul 2018,4024
188,0.0,1.0,31.0,0.0,Good,Abroad Ground,15 Sep 2018,4036
189,32.0,4.0,42.0,0.0,Average,Abroad Ground,20 Sep 2018,4041
190,17.0,1.0,44.0,0.0,Best,Abroad Ground,21 Sep 2018,4042
191,0.0,1.0,55.0,0.0,Average,Abroad Ground,23 Sep 2018,4045
192,30.0,1.0,36.0,0.0,Good,Home Ground,9 Dec 2018,4071
193,65.0,0.0,28.0,0.0,Good,Home Ground,11 Dec 2018,4072
194,,2.0,40.0,0.0,Good,Home Ground,14 Dec 2018,4073
195,61.0,1.0,33.0,1.0,Good,Abroad Ground,7 May 2019,4129
196,29.0,1.0,27.0,0.0,Good,Abroad Ground,13 May 2019,4134
197,50.0,0.0,65.0,1.0,Average,Abroad Ground,15 May 2019,4136
198,75.0,1.0,50.0,1.0,Best,Abroad Ground,2 Jun 2019,4147
199,64.0,2.0,47.0,0.0,Best,Abroad Ground,5 Jun 2019,4151
200,121.0,0.0,71.0,0.0,Best,Abroad Ground,8 Jun 2019,4153
201,124.0,2.0,54.0,0.0,Good,Abroad Ground,17 Jun 2019,4162
202,41.0,0.0,50.0,0.0,Good,Abroad Ground,20 Jun 2019,4166
203,51.0,5.0,29.0,0.0,Average,Abroad Ground,24 Jun 2019,4172
204,66.0,1.0,41.0,1.0,Best,Abroad Ground,2 Jul 2019,4182
205,64.0,0.0,57.0,1.0,Good,Abroad Ground,5 Jul 2019,4186
